num,tempo_funcao,tempo_usuario,tempo_sistema
496,2.3e-06,0.015179,0.001761
497,2.4e-06,0.015179,0.001779
498,2.4e-06,0.015179,0.001794
499,2.3e-06,0.015179,0.001809
500,2.4e-06,0.015179,0.001824
501,2.6e-06,0.015179,0.001843
502,2.3e-06,0.015179,0.001858
503,2.4e-06,0.015179,0.001873
504,2.5e-06,0.015179,0.00189
505,2.4e-06,0.015179,0.001906
506,2.4e-06,0.015179,0.001921
507,2.4e-06,0.015179,0.001936
508,2.5e-06,0.015179,0.001953
509,2.4e-06,0.015179,0.001969
510,2.5e-06,0.015179,0.001984
511,2.4e-06,0.015179,0.001999
512,2.5e-06,0.015179,0.002017
513,2.4e-06,0.015179,0.002032
514,2.4e-06,0.015179,0.002047
515,2.4e-06,0.015179,0.002062
516,2.5e-06,0.015179,0.002081
517,2.4e-06,0.015179,0.002096
518,2.5e-06,0.015179,0.002111
519,2.9e-06,0.015179,0.002129
520,2.5e-06,0.015179,0.002145
521,2.4e-06,0.015179,0.00216
522,2.5e-06,0.015179,0.002175
523,2.6e-06,0.015179,0.002193
524,2.4e-06,0.015179,0.002208
525,2.5e-06,0.015179,0.002223
526,2.4e-06,0.015179,0.002238
527,2.3e-06,0.015179,0.002253
528,2.5e-06,0.015179,0.002272
529,2.4e-06,0.015179,0.002287
530,2.5e-06,0.015179,0.002303
531,2.5e-06,0.015179,0.002318
532,2.5e-06,0.015179,0.002336
533,2.6e-06,0.015179,0.002351
534,3e-06,0.015179,0.00237
535,2.5e-06,0.015179,0.002386
536,2.5e-06,0.015179,0.002402
537,2.5e-06,0.015179,0.002417
538,2.7e-06,0.015179,0.002435
539,2.5e-06,0.015179,0.002451
540,2.6e-06,0.015179,0.002466
541,2.5e-06,0.015179,0.002484
542,2.5e-06,0.015179,0.0025
543,2.5e-06,0.015179,0.002515
544,2.6e-06,0.015179,0.00253
545,2.5e-06,0.015179,0.002548
546,2.8e-06,0.015179,0.002563
547,2.7e-06,0.015179,0.002579
548,2.6e-06,0.015179,0.002595
549,2.6e-06,0.015179,0.002613
550,2.6e-06,0.015179,0.002629
551,2.6e-06,0.015179,0.002644
552,2.5e-06,0.015179,0.00266
553,2.6e-06,0.015179,0.002678
554,2.6e-06,0.015179,0.002693
555,2.5e-06,0.015179,0.002709
