n,tempo_de_execucao
72910,0.004367 segundos
73010,0.004262 segundos
73110,0.004372 segundos
73210,0.004367 segundos
73310,0.004378 segundos
73410,0.00439 segundos
73510,0.004433 segundos
73610,0.004394 segundos
73710,0.00442 segundos
73810,0.004578 segundos
73910,0.004524 segundos
74010,0.004424 segundos
74110,0.004424 segundos
74210,0.004414 segundos
74310,0.004482 segundos
74410,0.004388 segundos
74510,0.004451 segundos
74610,0.004454 segundos
74710,0.004588 segundos
74810,0.004481 segundos
74910,0.004489 segundos
75010,0.004471 segundos
75110,0.004444 segundos
75210,0.004504 segundos
75310,0.004439 segundos
75410,0.00457 segundos
75510,0.004481 segundos
75610,0.004513 segundos
75710,0.004497 segundos
75810,0.004509 segundos
75910,0.0046 segundos
76010,0.004784 segundos
76110,0.004834 segundos
76210,0.004569 segundos
76310,0.004471 segundos
76410,0.0046 segundos
76510,0.004542 segundos
76610,0.004614 segundos
76710,0.005691 segundos
76810,0.005914 segundos
76910,0.00464 segundos
77010,0.005201 segundos
77110,0.005006 segundos
77210,0.00462 segundos
77310,0.004646 segundos
77410,0.004728 segundos
77510,0.005753 segundos
77610,0.004914 segundos
77710,0.004606 segundos
77810,0.004918 segundos
77910,0.004932 segundos
78010,0.004875 segundos
78110,0.00561 segundos
78210,0.005047 segundos
78310,0.004738 segundos
78410,0.004631 segundos
78510,0.004626 segundos
78610,0.004631 segundos
78710,0.004718 segundos
78810,0.004735 segundos
78910,0.00475 segundos
79010,0.004694 segundos
79110,0.004676 segundos
79210,0.004727 segundos
79310,0.00461 segundos
79410,0.004753 segundos
79510,0.004938 segundos
79610,0.00472 segundos
79710,0.004731 segundos
79810,0.004748 segundos
79910,0.004732 segundos
80010,0.004772 segundos
80110,0.004852 segundos
80210,0.004789 segundos
80310,0.004814 segundos
80410,0.004905 segundos
80510,0.004823 segundos
80610,0.004705 segundos
80710,0.004798 segundos
80810,0.004862 segundos
80910,0.004691 segundos
81010,0.004567 segundos
81110,0.004562 segundos
81210,0.004474 segundos
81310,0.004528 segundos
81410,0.004595 segundos
81510,0.00469 segundos
81610,0.004704 segundos
81710,0.004727 segundos
81810,0.004905 segundos
81910,0.004809 segundos
82010,0.004693 segundos
82110,0.005122 segundos
82210,0.005049 segundos
82310,0.005081 segundos
82410,0.004747 segundos
82510,0.004573 segundos
82610,0.005112 segundos
82710,0.004869 segundos
82810,0.004602 segundos
82910,0.004648 segundos
83010,0.004606 segundos
83110,0.004632 segundos
83210,0.004582 segundos
83310,0.004724 segundos
83410,0.004671 segundos
83510,0.004882 segundos
83610,0.004761 segundos
83710,0.00481 segundos
83810,0.004854 segundos
83910,0.004737 segundos
84010,0.004968 segundos
84110,0.004942 segundos
84210,0.004974 segundos
84310,0.004811 segundos
84410,0.004883 segundos
84510,0.004767 segundos
84610,0.00493 segundos
84710,0.004771 segundos
84810,0.004765 segundos
84910,0.004824 segundos
85010,0.00487 segundos
85110,0.0048 segundos
85210,0.004909 segundos
85310,0.004821 segundos
85410,0.004846 segundos
85510,0.004805 segundos
85610,0.00479 segundos
85710,0.005044 segundos
85810,0.004745 segundos
85910,0.005127 segundos
86010,0.00496 segundos
86110,0.004911 segundos
86210,0.004983 segundos
86310,0.005047 segundos
86410,0.005167 segundos
86510,0.005088 segundos
86610,0.005137 segundos
86710,0.004983 segundos
86810,0.00527 segundos
86910,0.005013 segundos
87010,0.006961 segundos
87110,0.005147 segundos
87210,0.00558 segundos
87310,0.005405 segundos
87410,0.004898 segundos
87510,0.005009 segundos
87610,0.004891 segundos
87710,0.00483 segundos
87810,0.0049 segundos
87910,0.00539 segundos
88010,0.005678 segundos
88110,0.004882 segundos
88210,0.006201 segundos
88310,0.005065 segundos
88410,0.004845 segundos
88510,0.004911 segundos
88610,0.004907 segundos
88710,0.004933 segundos
88810,0.004909 segundos
88910,0.004948 segundos
89010,0.004977 segundos
89110,0.005087 segundos
89210,0.005109 segundos
89310,0.005013 segundos
89410,0.004754 segundos
89510,0.004752 segundos
89610,0.004725 segundos
89710,0.005092 segundos
89810,0.004862 segundos
89910,0.004811 segundos
90010,0.004745 segundos
90110,0.004883 segundos
90210,0.005021 segundos
90310,0.004851 segundos
90410,0.004867 segundos
90510,0.00546 segundos
90610,0.005095 segundos
90710,0.005328 segundos
90810,0.005353 segundos
90910,0.005158 segundos
91010,0.006503 segundos
91110,0.004922 segundos
91210,0.005571 segundos
91310,0.004903 segundos
91410,0.005113 segundos
91510,0.005111 segundos
91610,0.004794 segundos
91710,0.004823 segundos
91810,0.004786 segundos
91910,0.004875 segundos
92010,0.004785 segundos
92110,0.004868 segundos
92210,0.004891 segundos
92310,0.004845 segundos
92410,0.004878 segundos
92510,0.004888 segundos
92610,0.004989 segundos
92710,0.004884 segundos
92810,0.005109 segundos
92910,0.004894 segundos
93010,0.004934 segundos
93110,0.004886 segundos
93210,0.004917 segundos
93310,0.004971 segundos
93410,0.004994 segundos
93510,0.004926 segundos
93610,0.004997 segundos
93710,0.005089 segundos
93810,0.005379 segundos
93910,0.005054 segundos
94010,0.004983 segundos
94110,0.005308 segundos
94210,0.005573 segundos
94310,0.005374 segundos
94410,0.005102 segundos
94510,0.005108 segundos
94610,0.005482 segundos
94710,0.005497 segundos
94810,0.005239 segundos
94910,0.005185 segundos
95010,0.005184 segundos
95110,0.004952 segundos
95210,0.005086 segundos
95310,0.005178 segundos
