n,tempo_de_execucao
90310,0.000612 segundos
90410,0.000569 segundos
90510,0.000667 segundos
90610,0.000658 segundos
90710,0.000567 segundos
90810,0.000572 segundos
90910,0.000599 segundos
91010,0.000663 segundos
91110,0.000595 segundos
91210,0.000588 segundos
91310,0.000585 segundos
91410,0.000601 segundos
91510,0.00059 segundos
91610,0.000576 segundos
91710,0.000573 segundos
91810,0.000615 segundos
91910,0.000598 segundos
92010,0.000599 segundos
92110,0.000597 segundos
92210,0.000622 segundos
92310,0.000637 segundos
92410,0.000577 segundos
92510,0.000578 segundos
92610,0.000615 segundos
92710,0.00058 segundos
92810,0.000598 segundos
92910,0.000616 segundos
93010,0.00059 segundos
93110,0.000582 segundos
93210,0.000599 segundos
93310,0.000599 segundos
93410,0.000595 segundos
93510,0.000585 segundos
93610,0.000648 segundos
93710,0.000628 segundos
93810,0.0006 segundos
93910,0.000602 segundos
94010,0.000607 segundos
94110,0.000589 segundos
94210,0.000606 segundos
94310,0.000594 segundos
94410,0.0006 segundos
94510,0.000591 segundos
94610,0.000612 segundos
94710,0.000605 segundos
94810,0.000615 segundos
94910,0.000606 segundos
95010,0.000607 segundos
95110,0.000601 segundos
95210,0.000706 segundos
95310,0.00061 segundos
95410,0.00062 segundos
95510,0.000612 segundos
95610,0.000611 segundos
95710,0.000663 segundos
95810,0.000616 segundos
95910,0.000616 segundos
96010,0.000661 segundos
96110,0.000603 segundos
96210,0.000608 segundos
96310,0.000677 segundos
96410,0.000714 segundos
96510,0.000631 segundos
96610,0.000613 segundos
96710,0.000606 segundos
96810,0.000635 segundos
96910,0.000705 segundos
97010,0.000656 segundos
97110,0.000629 segundos
97210,0.000611 segundos
97310,0.000609 segundos
97410,0.000675 segundos
97510,0.000649 segundos
97610,0.00063 segundos
97710,0.000629 segundos
97810,0.000624 segundos
97910,0.000634 segundos
98010,0.00064 segundos
98110,0.000626 segundos
98210,0.000637 segundos
98310,0.000688 segundos
98410,0.000622 segundos
98510,0.000615 segundos
98610,0.000635 segundos
98710,0.00063 segundos
98810,0.000631 segundos
98910,0.000621 segundos
99010,0.000653 segundos
99110,0.000696 segundos
99210,0.000586 segundos
99310,0.000579 segundos
99410,0.000596 segundos
99510,0.000667 segundos
99610,0.000591 segundos
99710,0.000674 segundos
99810,0.000589 segundos
99910,0.000597 segundos
100010,0.000586 segundos
100110,0.000593 segundos
100210,0.000606 segundos
100310,0.000596 segundos
100410,0.000592 segundos
100510,0.000586 segundos
100610,0.000594 segundos
100710,0.000632 segundos
100810,0.000591 segundos
100910,0.000585 segundos
101010,0.000603 segundos
101110,0.000597 segundos
101210,0.0006 segundos
101310,0.000588 segundos
101410,0.000598 segundos
101510,0.000592 segundos
101610,0.000599 segundos
101710,0.000605 segundos
101810,0.000644 segundos
101910,0.000595 segundos
102010,0.000603 segundos
102110,0.000602 segundos
102210,0.000611 segundos
102310,0.000596 segundos
102410,0.000605 segundos
102510,0.000599 segundos
102610,0.000612 segundos
102710,0.000596 segundos
102810,0.000609 segundos
102910,0.000597 segundos
103010,0.000612 segundos
103110,0.000604 segundos
103210,0.000612 segundos
103310,0.000599 segundos
103410,0.000613 segundos
103510,0.000601 segundos
103610,0.000663 segundos
103710,0.000674 segundos
103810,0.000609 segundos
103910,0.000635 segundos
104010,0.000652 segundos
104110,0.000604 segundos
104210,0.000623 segundos
104310,0.000658 segundos
104410,0.000726 segundos
104510,0.000657 segundos
104610,0.000635 segundos
104710,0.000654 segundos
104810,0.000608 segundos
104910,0.000613 segundos
105010,0.00068 segundos
105110,0.000622 segundos
105210,0.000628 segundos
105310,0.000628 segundos
105410,0.00061 segundos
105510,0.00065 segundos
105610,0.000634 segundos
105710,0.00064 segundos
105810,0.000698 segundos
105910,0.000686 segundos
106010,0.000734 segundos
106110,0.000682 segundos
106210,0.00063 segundos
106310,0.000618 segundos
106410,0.000633 segundos
106510,0.000628 segundos
106610,0.000656 segundos
106710,0.000624 segundos
106810,0.000633 segundos
106910,0.00064 segundos
107010,0.000694 segundos
107110,0.000668 segundos
107210,0.000631 segundos
107310,0.000625 segundos
107410,0.000631 segundos
107510,0.000623 segundos
107610,0.000638 segundos
107710,0.000625 segundos
107810,0.000637 segundos
107910,0.000631 segundos
108010,0.000636 segundos
108110,0.000644 segundos
