n,tempo_de_execucao
98810,0.00343 segundos
98910,0.003106 segundos
99010,0.002489 segundos
99110,0.003439 segundos
99210,0.003773 segundos
99310,0.002624 segundos
99410,0.002771 segundos
99510,0.003593 segundos
99610,0.002643 segundos
99710,0.002398 segundos
99810,0.003954 segundos
99910,0.002849 segundos
100010,0.002374 segundos
